date,ron95_vung1,is_update_day
2022-02-24,26280,0
2022-02-25,26280,0
2022-02-26,26280,0
2022-02-27,26280,0
2022-02-28,26280,0
2022-03-01,26830,1
2022-03-02,26830,0
2022-03-03,26830,0
2022-03-04,26830,0
2022-03-05,26830,0
2022-03-06,26830,0
2022-03-07,26830,0
2022-03-08,26830,0
2022-03-09,26830,0
2022-03-10,26830,0
2022-03-11,29820,1
2022-03-12,29820,0
2022-03-13,29820,0
2022-03-14,29820,0
2022-03-15,29820,0
2022-03-16,29820,0
2022-03-17,29820,0
2022-03-18,29820,0
2022-03-19,29820,0
2022-03-20,29820,0
2022-03-21,29190,1
2022-03-22,29190,0
2022-03-23,29190,0
2022-03-24,29190,0
2022-03-25,29190,0
2022-03-26,29190,0
2022-03-27,29190,0
2022-03-28,29190,0
2022-03-29,29190,0
2022-03-30,29190,0
2022-03-31,29190,0
2022-04-01,28150,1
2022-04-02,28150,0
2022-04-03,28150,0
2022-04-04,28150,0
2022-04-05,28150,0
2022-04-06,28150,0
2022-04-07,28150,0
2022-04-08,28150,0
2022-04-09,28150,0
2022-04-10,28150,0
2022-04-11,28150,0
2022-04-12,27310,1
2022-04-13,27310,0
2022-04-14,27310,0
2022-04-15,27310,0
2022-04-16,27310,0
2022-04-17,27310,0
2022-04-18,27310,0
2022-04-19,27310,0
2022-04-20,27310,0
2022-04-21,27990,1
2022-04-22,27990,0
2022-04-23,27990,0
2022-04-24,27990,0
2022-04-25,27990,0
2022-04-26,27990,0
2022-04-27,27990,0
2022-04-28,27990,0
2022-04-29,27990,0
2022-04-30,27990,0
2022-05-01,27990,0
2022-05-02,27990,0
2022-05-03,27990,0
2022-05-04,28430,1
2022-05-05,28430,0
2022-05-06,28430,0
2022-05-07,28430,0
2022-05-08,28430,0
2022-05-09,28430,0
2022-05-10,28430,0
2022-05-11,29980,1
2022-05-12,29980,0
2022-05-13,29980,0
2022-05-14,29980,0
2022-05-15,29980,0
2022-05-16,29980,0
2022-05-17,29980,0
2022-05-18,29980,0
2022-05-19,29980,0
2022-05-20,29980,0
2022-05-21,29980,0
2022-05-22,29980,0
2022-05-23,30650,1
2022-05-24,30650,0
2022-05-25,30650,0
2022-05-26,30650,0
2022-05-27,30650,0
2022-05-28,30650,0
2022-05-29,30650,0
2022-05-30,30650,0
2022-05-31,30650,0
2022-06-01,31570,1
2022-06-02,31570,0
2022-06-03,31570,0
2022-06-04,31570,0
2022-06-05,31570,0
2022-06-06,31570,0
2022-06-07,31570,0
2022-06-08,31570,0
2022-06-09,31570,0
2022-06-10,31570,0
2022-06-11,31570,0
2022-06-12,31570,0
2022-06-13,32370,1
2022-06-14,32370,0
2022-06-15,32370,0
2022-06-16,32370,0
2022-06-17,32370,0
2022-06-18,32370,0
2022-06-19,32370,0
2022-06-20,32370,0
2022-06-21,32870,1
2022-06-22,32870,0
2022-06-23,32870,0
2022-06-24,32870,0
2022-06-25,32870,0
2022-06-26,32870,0
2022-06-27,32870,0
2022-06-28,32870,0
2022-06-29,32870,0
2022-06-30,32870,0
2022-07-01,32760,1
2022-07-02,32760,0
2022-07-03,32760,0
2022-07-04,32760,0
2022-07-05,32760,0
2022-07-06,32760,0
2022-07-07,32760,0
2022-07-08,32760,0
2022-07-09,32760,0
2022-07-10,32760,0
2022-07-11,29670,1
2022-07-12,29670,0
2022-07-13,29670,0
2022-07-14,29670,0
2022-07-15,29670,0
2022-07-16,29670,0
2022-07-17,29670,0
2022-07-18,29670,0
2022-07-19,29670,0
2022-07-20,29670,0
2022-07-21,26070,1
2022-07-22,26070,0
2022-07-23,26070,0
2022-07-24,26070,0
2022-07-25,26070,0
2022-07-26,26070,0
2022-07-27,26070,0
2022-07-28,26070,0
2022-07-29,26070,0
2022-07-30,26070,0
2022-07-31,26070,0
2022-08-01,25600,1
2022-08-02,25600,0
2022-08-03,25600,0
2022-08-04,25600,0
2022-08-05,25600,0
2022-08-06,25600,0
2022-08-07,25600,0
2022-08-08,25600,0
2022-08-09,25600,0
2022-08-10,25600,0
2022-08-11,24660,1
2022-08-12,24660,0
2022-08-13,24660,0
2022-08-14,24660,0
2022-08-15,24660,0
2022-08-16,24660,0
2022-08-17,24660,0
2022-08-18,24660,0
2022-08-19,24660,0
2022-08-20,24660,0
2022-08-21,24660,0
2022-08-22,24660,1
2022-08-23,24660,0
2022-08-24,24660,0
2022-08-25,24660,0
2022-08-26,24660,0
2022-08-27,24660,0
2022-08-28,24660,0
2022-08-29,24660,0
2022-08-30,24660,0
2022-08-31,24660,0
2022-09-01,24660,0
2022-09-02,24660,0
2022-09-03,24660,0
2022-09-04,24660,0
2022-09-05,24230,1
2022-09-06,24230,0
2022-09-07,24230,0
2022-09-08,24230,0
2022-09-09,24230,0
2022-09-10,24230,0
2022-09-11,24230,0
2022-09-12,23210,1
2022-09-13,23210,0
2022-09-14,23210,0
2022-09-15,23210,0
2022-09-16,23210,0
2022-09-17,23210,0
2022-09-18,23210,0
2022-09-19,23210,0
2022-09-20,23210,0
2022-09-21,22580,1
2022-09-22,22580,0
2022-09-23,22580,0
2022-09-24,22580,0
2022-09-25,22580,0
2022-09-26,22580,0
2022-09-27,22580,0
2022-09-28,22580,0
2022-09-29,22580,0
2022-09-30,22580,0
2022-10-01,22580,0
2022-10-02,22580,0
2022-10-03,21440,1
2022-10-04,21440,0
2022-10-05,21440,0
2022-10-06,21440,0
2022-10-07,21440,0
2022-10-08,21440,0
2022-10-09,21440,0
2022-10-10,21440,0
2022-10-11,22000,1
2022-10-12,22000,0
2022-10-13,22000,0
2022-10-14,22000,0
2022-10-15,22000,0
2022-10-16,22000,0
2022-10-17,22000,0
2022-10-18,22000,0
2022-10-19,22000,0
2022-10-20,22000,0
2022-10-21,22340,1
2022-10-22,22340,0
2022-10-23,22340,0
2022-10-24,22340,0
2022-10-25,22340,0
2022-10-26,22340,0
2022-10-27,22340,0
2022-10-28,22340,0
2022-10-29,22340,0
2022-10-30,22340,0
2022-10-31,22340,0
2022-11-01,22750,1
2022-11-02,22750,0
2022-11-03,22750,0
2022-11-04,22750,0
2022-11-05,22750,0
2022-11-06,22750,0
2022-11-07,22750,0
2022-11-08,22750,0
2022-11-09,22750,0
2022-11-10,22750,0
2022-11-11,23860,1
2022-11-12,23860,0
2022-11-13,23860,0
2022-11-14,23860,0
2022-11-15,23860,0
2022-11-16,23860,0
2022-11-17,23860,0
2022-11-18,23860,0
2022-11-19,23860,0
2022-11-20,23860,0
2022-11-21,23780,1
2022-11-22,23780,0
2022-11-23,23780,0
2022-11-24,23780,0
2022-11-25,23780,0
2022-11-26,23780,0
2022-11-27,23780,0
2022-11-28,23780,0
2022-11-29,23780,0
2022-11-30,23780,0
2022-12-01,22700,1
2022-12-02,22700,0
2022-12-03,22700,0
2022-12-04,22700,0
2022-12-05,22700,0
2022-12-06,22700,0
2022-12-07,22700,0
2022-12-08,22700,0
2022-12-09,22700,0
2022-12-10,22700,0
2022-12-11,22700,0
2022-12-12,21200,1
2022-12-13,21200,0
2022-12-14,21200,0
2022-12-15,21200,0
2022-12-16,21200,0
2022-12-17,21200,0
2022-12-18,21200,0
2022-12-19,21200,0
2022-12-20,21200,0
2022-12-21,20700,1
2022-12-22,20700,0
2022-12-23,20700,0
2022-12-24,20700,0
2022-12-25,20700,0
2022-12-26,20700,0
2022-12-27,20700,0
2022-12-28,20700,0
2022-12-29,20700,0
2022-12-30,20700,0
2022-12-31,20700,0
2023-01-01,21800,1
2023-01-02,21800,0
2023-01-03,22590,1
2023-01-04,22590,0
2023-01-05,22590,0
2023-01-06,22590,0
2023-01-07,22590,0
2023-01-08,22590,0
2023-01-09,22590,0
2023-01-10,22590,0
2023-01-11,22150,1
2023-01-12,22150,0
2023-01-13,22150,0
2023-01-14,22150,0
2023-01-15,22150,0
2023-01-16,22150,0
2023-01-17,22150,0
2023-01-18,22150,0
2023-01-19,22150,0
2023-01-20,22150,0
2023-01-21,22150,0
2023-01-22,22150,0
2023-01-23,22150,0
2023-01-24,22150,0
2023-01-25,22150,0
2023-01-26,22150,0
2023-01-27,22150,0
2023-01-28,22150,0
2023-01-29,22150,0
2023-01-30,23140,1
2023-01-31,23140,0
2023-02-01,23140,0
2023-02-02,23140,0
2023-02-03,23140,0
2023-02-04,23140,0
2023-02-05,23140,0
2023-02-06,23140,0
2023-02-07,23140,0
2023-02-08,23140,0
2023-02-09,23140,0
2023-02-10,23140,0
2023-02-11,23140,0
2023-02-12,23140,0
2023-02-13,23760,1
2023-02-14,23760,0
2023-02-15,23760,0
2023-02-16,23760,0
2023-02-17,23760,0
2023-02-18,23760,0
2023-02-19,23760,0
2023-02-20,23760,0
2023-02-21,23440,1
2023-02-22,23440,0
2023-02-23,23440,0
2023-02-24,23440,0
2023-02-25,23440,0
2023-02-26,23440,0
2023-02-27,23440,0
2023-02-28,23440,0
2023-03-01,23320,1
2023-03-02,23320,0
2023-03-03,23320,0
2023-03-04,23320,0
2023-03-05,23320,0
2023-03-06,23320,0
2023-03-07,23320,0
2023-03-08,23320,0
2023-03-09,23320,0
2023-03-10,23320,0
2023-03-11,23320,0
2023-03-12,23320,0
2023-03-13,23810,1
2023-03-14,23810,0
2023-03-15,23810,0
2023-03-16,23810,0
2023-03-17,23810,0
2023-03-18,23810,0
2023-03-19,23810,0
2023-03-20,23810,0
2023-03-21,23030,1
2023-03-22,23030,0
2023-03-23,23030,0
2023-03-24,23030,0
2023-03-25,23030,0
2023-03-26,23030,0
2023-03-27,23030,0
2023-03-28,23030,0
2023-03-29,23030,0
2023-03-30,23030,0
2023-03-31,23030,0
2023-04-01,23030,0
2023-04-02,23030,0
2023-04-03,23120,1
2023-04-04,23120,0
2023-04-05,23120,0
2023-04-06,23120,0
2023-04-07,23120,0
2023-04-08,23120,0
2023-04-09,23120,0
2023-04-10,23120,0
2023-04-11,24240,1
2023-04-12,24240,0
2023-04-13,24240,0
2023-04-14,24240,0
2023-04-15,24240,0
2023-04-16,24240,0
2023-04-17,24240,0
2023-04-18,24240,0
2023-04-19,24240,0
2023-04-20,24240,0
2023-04-21,23630,1
2023-04-22,23630,0
2023-04-23,23630,0
2023-04-24,23630,0
2023-04-25,23630,0
2023-04-26,23630,0
2023-04-27,23630,0
2023-04-28,23630,0
2023-04-29,23630,0
2023-04-30,23630,0
2023-05-01,23630,0
2023-05-02,23630,0
2023-05-03,23630,0
2023-05-04,22320,1
2023-05-05,22320,0
2023-05-06,22320,0
2023-05-07,22320,0
2023-05-08,22320,0
2023-05-09,22320,0
2023-05-10,22320,0
2023-05-11,21000,1
2023-05-12,21000,0
2023-05-13,21000,0
2023-05-14,21000,0
2023-05-15,21000,0
2023-05-16,21000,0
2023-05-17,21000,0
2023-05-18,21000,0
2023-05-19,21000,0
2023-05-20,21000,0
2023-05-21,21000,0
2023-05-22,21000,0
2023-05-23,21000,0
2023-05-24,21000,0
2023-05-25,21000,0
2023-05-26,21000,0
2023-05-27,21000,0
2023-05-28,21000,0
2023-05-29,21000,0
2023-05-30,21000,0
2023-05-31,21000,0
2023-06-01,22010,1
2023-06-02,22010,0
2023-06-03,22010,0
2023-06-04,22010,0
2023-06-05,22010,0
2023-06-06,22010,0
2023-06-07,22010,0
2023-06-08,22010,0
2023-06-09,22010,0
2023-06-10,22010,0
2023-06-11,22010,0
2023-06-12,22010,0
2023-06-13,22010,0
2023-06-14,22010,0
2023-06-15,22010,0
2023-06-16,22010,0
2023-06-17,22010,0
2023-06-18,22010,0
2023-06-19,22010,0
2023-06-20,22010,0
2023-06-21,22010,1
2023-06-22,22010,0
2023-06-23,22010,0
2023-06-24,22010,0
2023-06-25,22010,0
2023-06-26,22010,0
2023-06-27,22010,0
2023-06-28,22010,0
2023-06-29,22010,0
2023-06-30,22010,0
2023-07-01,22010,0
2023-07-02,22010,0
2023-07-03,21420,1
2023-07-04,21420,0
2023-07-05,21420,0
2023-07-06,21420,0
2023-07-07,21420,0
2023-07-08,21420,0
2023-07-09,21420,0
2023-07-10,21420,0
2023-07-11,21490,1
2023-07-12,21490,0
2023-07-13,21490,0
2023-07-14,21490,0
2023-07-15,21490,0
2023-07-16,21490,0
2023-07-17,21490,0
2023-07-18,21490,0
2023-07-19,21490,0
2023-07-20,21490,0
2023-07-21,21490,0
2023-07-22,21490,0
2023-07-23,21490,0
2023-07-24,21490,0
2023-07-25,21490,0
2023-07-26,21490,0
2023-07-27,21490,0
2023-07-28,21490,0
2023-07-29,21490,0
2023-07-30,21490,0
2023-07-31,21490,0
2023-08-01,23960,1
2023-08-02,23960,0
2023-08-03,23960,0
2023-08-04,23960,0
2023-08-05,23960,0
2023-08-06,23960,0
2023-08-07,23960,0
2023-08-08,23960,0
2023-08-09,23960,0
2023-08-10,23960,0
2023-08-11,23990,1
2023-08-12,23990,0
2023-08-13,23990,0
2023-08-14,23990,0
2023-08-15,23990,0
2023-08-16,23990,0
2023-08-17,23990,0
2023-08-18,23990,0
2023-08-19,23990,0
2023-08-20,23990,0
2023-08-21,24600,1
2023-08-22,24600,0
2023-08-23,24600,0
2023-08-24,24600,0
2023-08-25,24600,0
2023-08-26,24600,0
2023-08-27,24600,0
2023-08-28,24600,0
2023-08-29,24600,0
2023-08-30,24600,0
2023-08-31,24600,0
2023-09-01,24600,0
2023-09-02,24600,0
2023-09-03,24600,0
2023-09-04,24600,0
2023-09-05,24870,1
2023-09-06,24870,0
2023-09-07,24870,0
2023-09-08,24870,0
2023-09-09,24870,0
2023-09-10,24870,0
2023-09-11,24870,1
2023-09-12,24870,0
2023-09-13,24870,0
2023-09-14,24870,0
2023-09-15,24870,0
2023-09-16,24870,0
2023-09-17,24870,0
2023-09-18,24870,0
2023-09-19,24870,0
2023-09-20,24870,0
2023-09-21,25740,1
2023-09-22,25740,0
2023-09-23,25740,0
2023-09-24,25740,0
2023-09-25,25740,0
2023-09-26,25740,0
2023-09-27,25740,0
2023-09-28,25740,0
2023-09-29,25740,0
2023-09-30,25740,0
2023-10-01,25740,0
2023-10-02,24840,1
2023-10-03,24840,0
2023-10-04,24840,0
2023-10-05,24840,0
2023-10-06,24840,0
2023-10-07,24840,0
2023-10-08,24840,0
2023-10-09,24840,0
2023-10-10,24840,0
2023-10-11,23040,1
2023-10-12,23040,0
2023-10-13,23040,0
2023-10-14,23040,0
2023-10-15,23040,0
2023-10-16,23040,0
2023-10-17,23040,0
2023-10-18,23040,0
2023-10-19,23040,0
2023-10-20,23040,0
2023-10-21,23040,0
2023-10-22,23040,0
2023-10-23,23510,1
2023-10-24,23510,0
2023-10-25,23510,0
2023-10-26,23510,0
2023-10-27,23510,0
2023-10-28,23510,0
2023-10-29,23510,0
2023-10-30,23510,0
2023-10-31,23510,0
2023-11-01,23920,1
2023-11-02,23920,0
2023-11-03,23920,0
2023-11-04,23920,0
2023-11-05,23920,0
2023-11-06,23920,0
2023-11-07,23920,0
2023-11-08,23920,0
2023-11-09,23920,0
2023-11-10,23920,0
2023-11-11,23920,0
2023-11-12,23920,0
2023-11-13,23530,1
2023-11-14,23530,0
2023-11-15,23530,0
2023-11-16,23530,0
2023-11-17,23530,0
2023-11-18,23530,0
2023-11-19,23530,0
2023-11-20,23530,0
2023-11-21,23530,0
2023-11-22,23530,0
2023-11-23,23020,1
2023-11-24,23020,0
2023-11-25,23020,0
2023-11-26,23020,0
2023-11-27,23020,0
2023-11-28,23020,0
2023-11-29,23020,0
2023-11-30,22990,1
2023-12-01,22990,0
2023-12-02,22990,0
2023-12-03,22990,0
2023-12-04,22990,0
2023-12-05,22990,0
2023-12-06,22990,0
2023-12-07,22320,1
2023-12-08,22320,0
2023-12-09,22320,0
2023-12-10,22320,0
2023-12-11,22320,0
2023-12-12,22320,0
2023-12-13,22320,0
2023-12-14,21400,1
2023-12-15,21400,0
2023-12-16,21400,0
2023-12-17,21400,0
2023-12-18,21400,0
2023-12-19,21400,0
2023-12-20,21400,0
2023-12-21,22140,1
2023-12-22,22140,0
2023-12-23,22140,0
2023-12-24,22140,0
2023-12-25,22140,0
2023-12-26,22140,0
2023-12-27,22140,0
2023-12-28,22140,1
2023-12-29,22140,0
2023-12-30,22140,0
2023-12-31,22140,0
2024-01-01,22140,0
2024-01-02,22140,0
2024-01-03,22140,0
2024-01-04,21910,1
2024-01-05,21910,0
2024-01-06,21910,0
2024-01-07,21910,0
2024-01-08,21910,0
2024-01-09,21910,0
2024-01-10,21910,0
2024-01-11,21930,1
2024-01-12,21930,0
2024-01-13,21930,0
2024-01-14,21930,0
2024-01-15,21930,0
2024-01-16,21930,0
2024-01-17,21930,0
2024-01-18,22480,1
2024-01-19,22480,0
2024-01-20,22480,0
2024-01-21,22480,0
2024-01-22,22480,0
2024-01-23,22480,0
2024-01-24,22480,0
2024-01-25,23400,1
2024-01-26,23400,0
2024-01-27,23400,0
2024-01-28,23400,0
2024-01-29,23400,0
2024-01-30,23400,0
2024-01-31,23400,0
2024-02-01,24160,1
2024-02-02,24160,0
2024-02-03,24160,0
2024-02-04,24160,0
2024-02-05,24160,0
2024-02-06,24160,0
2024-02-07,24160,0
2024-02-08,23260,1
2024-02-09,23260,0
2024-02-10,23260,0
2024-02-11,23260,0
2024-02-12,23260,0
2024-02-13,23260,0
2024-02-14,23260,0
2024-02-15,23910,1
2024-02-16,23910,0
2024-02-17,23910,0
2024-02-18,23910,0
2024-02-19,23910,0
2024-02-20,23910,0
2024-02-21,23910,0
2024-02-22,24060,1
2024-02-23,24060,0
2024-02-24,24060,0
2024-02-25,24060,0
2024-02-26,24060,0
2024-02-27,24060,0
2024-02-28,24060,0
2024-02-29,23920,1
2024-03-01,23920,0
2024-03-02,23920,0
2024-03-03,23920,0
2024-03-04,23920,0
2024-03-05,23920,0
2024-03-06,23920,0
2024-03-07,23550,1
2024-03-08,23550,0
2024-03-09,23550,0
2024-03-10,23550,0
2024-03-11,23550,0
2024-03-12,23550,0
2024-03-13,23550,0
2024-03-14,23540,1
2024-03-15,23540,0
2024-03-16,23540,0
2024-03-17,23540,0
2024-03-18,23540,0
2024-03-19,23540,0
2024-03-20,23540,0
2024-03-21,24280,1
2024-03-22,24280,0
2024-03-23,24280,0
2024-03-24,24280,0
2024-03-25,24280,0
2024-03-26,24280,0
2024-03-27,24280,0
2024-03-28,24810,1
2024-03-29,24810,0
2024-03-30,24810,0
2024-03-31,24810,0
2024-04-01,24810,0
2024-04-02,24810,0
2024-04-03,24810,0
2024-04-04,24800,1
2024-04-05,24800,0
2024-04-06,24800,0
2024-04-07,24800,0
